,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1385,South Carolina,SC,635365,16.1,0,All Races,2014,45,0
1389,South Dakota,SD,81569,11.6,0,All Races,2014,46,0
1393,Tennessee,TN,765026,14.1,0,All Races,2014,47,0
1397,Texas,TX,4976322,21.4,0,All Races,2014,48,0
1401,Utah,UT,360274,13.8,0,All Races,2014,49,0
1405,Vermont,VT,30387,6.1,0,All Races,2014,50,0
1409,Virginia,VA,863567,12.4,0,All Races,2014,51,0
1413,Washington,WA,630600,10.6,0,All Races,2014,53,0
1417,West Virginia,WV,156077,10.6,0,All Races,2014,54,0
1421,Wisconsin,WI,407618,8.6,0,All Races,2014,55,0
1425,Wyoming,WY,69582,14.2,0,All Races,2014,56,0
1429,Alabama,AL,475233,11.9,0,All Races,2015,01,0
1433,Alaska,AK,105982,16.3,0,All Races,2015,02,0
1437,Arizona,AZ,710610,12.8,0,All Races,2015,04,0
1441,Arkansas,AR,269055,11.1,0,All Races,2015,05,0
1445,California,CA,3234373,9.7,0,All Races,2015,06,0
1449,Colorado,CO,428602,9.2,0,All Races,2015,08,0
1453,Connecticut,CT,201842,6.9,0,All Races,2015,09,0
1457,Delaware,DE,52951,6.9,0,All Races,2015,10,0
1461,District of Columbia,DC,24198,4.3,0,All Races,2015,11,0
1465,Florida,FL,2602192,16.3,0,All Races,2015,12,0
1469,Georgia,GA,1366843,15.8,0,All Races,2015,13,0
1473,Hawaii,HI,55299,4.8,0,All Races,2015,15,0
1477,Idaho,ID,177426,12.8,0,All Races,2015,16,0
1481,Illinois,IL,885019,8.2,0,All Races,2015,17,0
1485,Indiana,IN,621372,11.3,0,All Races,2015,18,0
1489,Iowa,IA,149178,5.9,0,All Races,2015,19,0
1493,Kansas,KS,253816,10.5,0,All Races,2015,20,0
1497,Kentucky,KY,258239,7.1,0,All Races,2015,21,0
1501,Louisiana,LA,538466,13.8,0,All Races,2015,22,0
1505,Maine,ME,108771,10.3,0,All Races,2015,23,0
1509,Maryland,MD,374972,7.4,0,All Races,2015,24,0
1513,Massachusetts,MA,180139,3.2,0,All Races,2015,25,2
1517,Michigan,MI,590197,7.2,0,All Races,2015,26,0
1521,Minnesota,MN,237981,5.2,0,All Races,2015,27,0
1525,Mississippi,MS,365919,14.8,0,All Races,2015,28,0
1529,Missouri,MO,574373,11.5,0,All Races,2015,29,0
